date,sales,promotion,store_visits
2017-01-01,46430,0,984
2017-02-01,44863,0,988
2017-03-01,52320,0,1134
2017-04-01,58439,1,1216
2017-05-01,50875,0,1125
2017-06-01,55401,0,1108
2017-07-01,63799,1,1294
2017-08-01,56771,0,1158
2017-09-01,55083,0,1171
2017-10-01,56964,0,1177
2017-11-01,72215,1,1502
2017-12-01,82591,1,1701
2018-01-01,50024,0,1122
2018-02-01,53843,0,1148
2018-03-01,56190,0,1269
2018-04-01,59160,1,1247
2018-05-01,60798,0,1313
2018-06-01,61211,0,1360
2018-07-01,70645,1,1580
2018-08-01,62271,0,1294
2018-09-01,59393,0,1314
2018-10-01,62303,0,1234
2018-11-01,78586,1,1635
2018-12-01,86999,1,1874
2019-01-01,53054,0,1102
2019-02-01,54800,0,1241
2019-03-01,60825,0,1199
2019-04-01,66534,1,1404
2019-05-01,65716,0,1328
2019-06-01,69323,0,1555
2019-07-01,78619,1,1658
2019-08-01,66400,0,1400
2019-09-01,63353,0,1253
2019-10-01,66972,0,1395
2019-11-01,82867,1,1751
2019-12-01,96281,1,2099
2020-01-01,57865,0,1249
2020-02-01,57939,0,1216
2020-03-01,62333,0,1324
2020-04-01,71841,1,1627
2020-05-01,71263,0,1431
2020-06-01,74624,0,1484
2020-07-01,77638,1,1726
2020-08-01,72719,0,1519
2020-09-01,69417,0,1551
2020-10-01,74204,0,1524
2020-11-01,89045,1,1937
2020-12-01,100747,1,2072
2021-01-01,63727,0,1298
2021-02-01,64148,0,1299
2021-03-01,69276,0,1548
2021-04-01,76479,1,1517
2021-05-01,71243,0,1562
2021-06-01,77780,0,1757
2021-07-01,83262,1,1739
2021-08-01,75717,0,1625
2021-09-01,73235,0,1470
2021-10-01,81973,0,1651
2021-11-01,90839,1,1965
2021-12-01,108844,1,2148
2022-01-01,62650,0,1361
2022-02-01,67474,0,1417
2022-03-01,73491,0,1605
2022-04-01,81060,1,1603
2022-05-01,80833,0,1790
2022-06-01,85283,0,1924
2022-07-01,88724,1,1886
2022-08-01,81019,0,1590
2022-09-01,80408,0,1600
2022-10-01,83224,0,1690
2022-11-01,95553,1,1902
2022-12-01,110679,1,2202
2023-01-01,68448,0,1437
2023-02-01,73517,0,1591
2023-03-01,77939,0,1578
2023-04-01,85969,1,1768
2023-05-01,83149,0,1784
2023-06-01,88941,0,1991
2023-07-01,96062,1,1951
2023-08-01,86270,0,1882
2023-09-01,84205,0,1666
2023-10-01,87149,0,1908
2023-11-01,103177,1,2300
2023-12-01,118791,1,2385
2024-01-01,71958,0,1596
2024-02-01,77706,0,1717
2024-03-01,81086,0,1682
2024-04-01,89157,1,1779
2024-05-01,89967,0,1983
2024-06-01,94629,0,2049
2024-07-01,101345,1,2050
2024-08-01,91648,0,1804
2024-09-01,86949,0,1830
2024-10-01,93391,0,2075
2024-11-01,105880,1,2401
2024-12-01,122905,1,2695
2025-01-01,75797,0,1687
2025-02-01,78653,0,1614
2025-03-01,87491,0,1951
2025-04-01,91818,1,1931
2025-05-01,92898,0,1901
2025-06-01,101560,0,2113
2025-07-01,104292,1,2297
2025-08-01,98401,0,1983
2025-09-01,90506,0,1847
2025-10-01,98075,0,1994
2025-11-01,113118,1,2518
2025-12-01,131802,1,2938
